TR:HepG2:Cell type,TR:PriHu:Cell type,TR:NO-LIG:Stimuli,TR:TGFa:Stimuli,TR:NO-INHIB:Inhibitors,TR:MEK12i:Inhibitors,TR:p38i:Inhibitors,TR:PI3Ki:Inhibitors,TR:mTORrapi:Inhibitors,TR:GSK3i:Inhibitors,TR:JNKi:Inhibitors,DA:AKT,DA:ERK12,DA:GSK3,DA:JNK,DA:p38,DA:p70S61,DA:p90RSK,DA:STAT3,DA:CREB,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:GSK3,DV:JNK,DV:p38,DV:p70S61,DV:p90RSK,DV:STAT3,DV:CREB,DV:HSP27,DV:MEK12
1,,1,,1,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,1724.000000,67.000000,37.000000,3469.000000,239.000000,117.000000,350.000000,391.000000,5369.000000
1,,1,,1,,,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,11592.000000,234.000000,1307.000000,92.000000,38.000000,3989.000000,254.000000,101.000000,409.000000,501.000000,5117.000000
1,,1,,1,,,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,6277.000000,719.000000,2141.000000,42.000000,36.000000,2949.000000,224.000000,133.000000,290.000000,281.000000,5620.000000
,1,1,,1,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5578.000000,275.000000,1123.000000,154.000000,173.000000,3845.000000,220.000000,29.000000,640.000000,6923.000000,1913.000000
,1,1,,1,,,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,7100.000000,189.000000,950.000000,209.000000,161.000000,4522.000000,263.000000,31.000000,613.000000,7798.000000,1868.000000
,1,1,,1,,,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4056.000000,361.000000,1296.000000,98.000000,184.000000,3168.000000,178.000000,28.000000,666.000000,6048.000000,1958.000000
1,,,1,1,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,1724.000000,67.000000,37.000000,3469.000000,239.000000,117.000000,350.000000,391.000000,5369.000000
1,,,1,1,,,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,23692.000000,974.000000,2957.000000,146.000000,376.000000,21087.000000,1619.000000,48.000000,2697.000000,286.000000,23367.000000
1,,,1,1,,,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8024.000000,2506.000000,4968.000000,198.000000,272.000000,15315.000000,929.000000,533.000000,726.000000,409.000000,17724.000000
,1,,1,1,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5578.000000,275.000000,1123.000000,154.000000,173.000000,3845.000000,220.000000,29.000000,640.000000,6923.000000,1913.000000
