TR:HepG2:Cell type,TR:NO-LIG:Stimuli,TR:EGF:Stimuli,TR:NRG1a:Stimuli,TR:EGF/NRG1a:Stimuli,TR:AR:Stimuli,TR:EGF/AR:Stimuli,TR:EPR:Stimuli,TR:TGFa:Stimuli,TR:EGF/TGFa:Stimuli,TR:NRG1a/TGFa:Stimuli,TR:EPR/TGFa:Stimuli,TR:EGF/NRG1a/AR/EPR/TGFa:Stimuli,TR:NO-INHIB:Inhibitors,TR:PI3Ki:Inhibitors,DA:AKT,DA:ERK12,DA:GSK3,DA:JNK,DA:p38,DA:p70S61,DA:p90RSK,DA:STAT3,DA:CREB,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:GSK3,DV:JNK,DV:p38,DV:p70S61,DV:p90RSK,DV:STAT3,DV:CREB,DV:HSP27,DV:MEK12
1,1,,,,,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,1,,,,,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,4101.000000,2208.000000,4579.000000,94.000000,61.000000,5836.000000,206.000000,248.000000,895.000000,289.000000,15105.000000
1,1,,,,,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,1,,,,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,1,,,,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,18160.000000,12849.000000,9452.000000,191.000000,306.000000,20257.000000,1112.000000,97.000000,2161.000000,195.000000,23483.000000
1,,1,,,,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,3482.000000,9069.000000,7226.000000,270.000000,459.000000,15747.000000,684.000000,452.000000,1770.000000,301.000000,22157.000000
1,,,1,,,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,1,,,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24931.000000,7431.000000,12214.000000,181.000000,92.000000,18572.000000,419.000000,174.000000,908.000000,247.000000,17455.000000
1,,,1,,,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,26257.000000,9309.000000,14452.000000,373.000000,532.000000,22408.000000,665.000000,300.000000,1708.000000,287.000000,23361.000000
1,,,,1,,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,1,,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24510.000000,15495.000000,8759.000000,341.000000,374.000000,22329.000000,1212.000000,74.000000,3701.000000,229.000000,24164.000000
1,,,,1,,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,24446.000000,12453.000000,12293.000000,454.000000,582.000000,22837.000000,757.000000,495.000000,2352.000000,285.000000,23726.000000
1,,,,,1,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,1,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,3732.000000,2481.000000,2189.000000,31.000000,46.000000,4780.000000,91.000000,118.000000,232.000000,268.000000,12782.000000
1,,,,,1,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2549.000000,4584.000000,6138.000000,117.000000,89.000000,8842.000000,266.000000,117.000000,894.000000,261.000000,15481.000000
1,,,,,,1,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,1,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,18347.000000,12808.000000,10642.000000,219.000000,440.000000,19359.000000,1039.000000,97.000000,2355.000000,249.000000,23141.000000
1,,,,,,1,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,3147.000000,8728.000000,8191.000000,286.000000,407.000000,17503.000000,532.000000,387.000000,1896.000000,280.000000,23274.000000
1,,,,,,,1,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,1,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,6938.000000,7987.000000,7118.000000,130.000000,101.000000,15010.000000,381.000000,85.000000,1039.000000,186.000000,18257.000000
1,,,,,,,1,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2000.000000,6260.000000,7195.000000,115.000000,234.000000,12465.000000,278.000000,129.000000,986.000000,183.000000,13800.000000
1,,,,,,,,1,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,,1,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,13740.000000,8387.000000,10753.000000,177.000000,276.000000,20118.000000,388.000000,131.000000,1953.000000,140.000000,21152.000000
1,,,,,,,,1,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2606.000000,9233.000000,7818.000000,251.000000,356.000000,18298.000000,482.000000,393.000000,1561.000000,231.000000,22921.000000
1,,,,,,,,,1,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,,,1,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,18379.000000,11766.000000,8093.000000,197.000000,380.000000,22381.000000,669.000000,93.000000,2488.000000,234.000000,24130.000000
1,,,,,,,,,1,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2898.000000,7848.000000,6307.000000,296.000000,402.000000,16760.000000,551.000000,385.000000,1392.000000,248.000000,23770.000000
1,,,,,,,,,,1,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,,,,1,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24912.000000,18530.000000,13963.000000,393.000000,411.000000,23159.000000,1480.000000,97.000000,4380.000000,243.000000,24572.000000
1,,,,,,,,,,1,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,25212.000000,13931.000000,14774.000000,457.000000,706.000000,22542.000000,1039.000000,447.000000,2530.000000,322.000000,24125.000000
1,,,,,,,,,,,1,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,,,,,1,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,18833.000000,5432.000000,6724.000000,179.000000,250.000000,18165.000000,549.000000,58.000000,2177.000000,139.000000,21975.000000
1,,,,,,,,,,,1,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,3626.000000,9954.000000,7752.000000,312.000000,573.000000,18939.000000,737.000000,434.000000,1747.000000,284.000000,23784.000000
1,,,,,,,,,,,,1,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3975.000000,2772.000000,5703.000000,110.000000,61.000000,4575.000000,245.000000,248.000000,862.000000,252.000000,13656.000000
1,,,,,,,,,,,,1,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24329.000000,14277.000000,12333.000000,287.000000,347.000000,22341.000000,1145.000000,69.000000,3115.000000,165.000000,24813.000000
1,,,,,,,,,,,,1,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,24576.000000,11485.000000,14047.000000,364.000000,490.000000,22491.000000,681.000000,455.000000,1916.000000,251.000000,24049.000000
1,1,,,,,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,1,,,,,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,978.000000,2800.000000,4001.000000,83.000000,74.000000,3010.000000,236.000000,206.000000,706.000000,227.000000,14726.000000
1,1,,,,,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,1,,,,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,1,,,,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,1560.000000,12018.000000,9167.000000,206.000000,347.000000,14645.000000,798.000000,93.000000,2180.000000,216.000000,24118.000000
1,,1,,,,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,695.000000,5518.000000,4328.000000,105.000000,137.000000,8276.000000,213.000000,182.000000,1140.000000,188.000000,20870.000000
1,,,1,,,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,,1,,,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,2438.000000,6230.000000,5871.000000,73.000000,125.000000,6783.000000,306.000000,153.000000,895.000000,213.000000,17658.000000
1,,,1,,,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4680.000000,6570.000000,6047.000000,165.000000,191.000000,6856.000000,304.000000,132.000000,817.000000,225.000000,17546.000000
1,,,,1,,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,,,1,,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,13430.000000,15053.000000,11697.000000,243.000000,314.000000,18945.000000,1050.000000,111.000000,3439.000000,194.000000,23814.000000
1,,,,1,,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,2530.000000,9401.000000,9883.000000,234.000000,317.000000,13692.000000,686.000000,310.000000,1907.000000,287.000000,23419.000000
1,,,,,1,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,,,,1,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,1282.000000,2980.000000,3593.000000,97.000000,59.000000,4064.000000,212.000000,161.000000,902.000000,223.000000,15894.000000
1,,,,,1,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,939.000000,4517.000000,5722.000000,115.000000,106.000000,4856.000000,303.000000,152.000000,743.000000,212.000000,16611.000000
1,,,,,,1,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,558.000000,2984.000000,3107.000000,67.000000,50.000000,2352.000000,174.000000,217.000000,603.000000,197.000000,13918.000000
1,,,,,,1,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,1645.000000,12291.000000,10575.000000,270.000000,427.000000,17558.000000,1103.000000,146.000000,2936.000000,270.000000,24216.000000
