TR:PriHu:CellLine,TR:NOCYTO,TR:IFNG,TR:TNFA,TR:IL1A,TR:IL6,TR:IGF1,TR:TGFA,TR:lps,TR:NOINHIB,TR:MP2K2/MP2K1i,TR:p38i,TR:pi3ki,TR:ikki,TR:MTORi,TR:GSK3A/GSK3Bi,TR:MK08/MK09i,DA:akt,DA:MK03/MK01,DA:GSK3A/GSK3B,DA:IKBA,DA:KS6B1,DA:KS6A1,DA:STAT3,DA:JUN,DA:creb,DA:HSPB1,DA:IRS1_s,DA:MP2K2/MP2K1,DV:akt,DV:MK03/MK01,DV:GSK3A/GSK3B,DV:IKBA,DV:KS6B1,DV:KS6A1,DV:STAT3,DV:JUN,DV:creb,DV:HSPB1,DV:IRS1_s,DV:MP2K2/MP2K1
1,1, , , , , , , ,1, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,5578,275,1123,435,3845,220,29,17897,640,6923,671,1913
1,1, , , , , , , , ,1, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,4544,89,905,269,3204,90,27,16125,545,6478,564,16244
1,1, , , , , , , , , ,1, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,5108,240,945,318,2917,202,35,15779,501,1531,533,2079
1,1, , , , , , , , , , ,1, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,2796,212,601,320,1576,165,27,14875,483,5998,452,1799
1,1, , , , , , , , , , , ,1, , , ,0,0,0,0,0,0,0,0,0,0,0,0,4409,266,931,85,4844,196,19,14886,745,17447,951,1369
1,1, , , , , , , , , , , , ,1, , ,0,0,0,0,0,0,0,0,0,0,0,0,4269,256,1101,244,1205,153,27,13595,510,4938,521,1903
1,1, , , , , , , , , , , , , ,1, ,0,0,0,0,0,0,0,0,0,0,0,0,4215,280,1020,360,3027,194,35,15694,635,6191,662,1956
1,1, , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,3336,78,384,236,128,79,16,9515,538,8616,234,835
1,1, , , , , , , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,7100,189,950,499,4522,263,31,18377,613,7798,667,1868
1,1, , , , , , , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,5942,39,517,315,4149,86,31,16591,604,6253,532,18005
1,1, , , , , , , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,6296,136,541,391,3616,217,46,17492,588,1785,559,1921
1,1, , , , , , , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,4011,107,549,505,2166,222,35,17468,596,7190,419,1937
1,1, , , , , , , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,6862,141,804,144,6289,238,23,16719,799,16674,961,1436
1,1, , , , , , , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,6402,160,957,310,1612,184,29,15455,575,5302,530,2049
1,1, , , , , , , , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,5485,193,720,440,3616,218,47,16525,662,6306,691,1954
1,1, , , , , , , , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,4720,58,340,375,255,129,22,11058,671,10036,267,1008
1, ,1, , , , , , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,5317,280,1130,417,3567,275,34,15991,600,7423,630,1938
1, ,1, , , , , , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,3632,174,1134,422,2409,122,37,15375,557,6285,515,15789
1, ,1, , , , , , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,4227,206,1004,420,3302,206,50,15650,550,2097,600,2413
1, ,1, , , , , , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,2981,115,769,402,3041,169,53,15108,569,5776,506,2313
1, ,1, , , , , , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,4268,261,888,133,5325,160,42,16917,732,13816,969,1713
1, ,1, , , , , , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,7711,219,1188,363,2570,238,79,16279,590,5104,674,2580
1, ,1, , , , , , , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,3632,128,670,322,4086,182,80,15476,531,5121,570,2084
1, ,1, , , , , , , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,3241,102,383,449,327,100,28,10552,699,8083,306,1020
1, , ,1, , , , , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10549,324,1611,1393,8392,441,26,20152,1013,23120,1203,3710
1, , ,1, , , , , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,6671,78,1519,1174,7769,187,67,18647,988,22700,1156,15436
1, , ,1, , , , , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,5791,94,798,1053,5853,289,30,18732,720,2525,1100,2859
1, , ,1, , , , , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,3861,207,773,1069,5093,242,30,18368,955,20449,854,3006
1, , ,1, , , , , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,9187,372,1319,885,9475,285,26,19577,1229,24145,1518,2317
1, , ,1, , , , , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,9772,226,1322,1067,5351,329,29,18123,1003,19808,1013,3508
1, , ,1, , , , , , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,7388,196,1077,945,5540,192,19,15548,797,18457,1146,2699
1, , ,1, , , , , , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,7176,125,638,940,2810,147,24,13948,899,23469,625,1703
1, , , ,1, , , , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,15914,539,1627,1576,11148,640,22,21727,1179,24484,2377,6481
1, , , ,1, , , , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,13793,104,2284,2290,11622,238,29,22455,1362,24087,1993,13740
1, , , ,1, , , , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,15148,486,1159,1353,9990,633,31,19427,1159,11012,2365,6236
1, , , ,1, , , , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,6702,851,2190,2306,10241,681,30,21411,1607,24087,2018,6817
1, , , ,1, , , , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,8596,445,1640,448,8164,277,17,17536,1069,23698,1583,3145
1, , , ,1, , , , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,16140,517,1841,1509,8129,462,22,18292,1400,24194,1890,6274
1, , , ,1, , , , , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,14308,417,1732,1865,10178,498,36,20050,1484,24894,2004,5620
1, , , ,1, , , , , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,12683,338,768,1391,5565,410,18,16969,1341,23715,1340,3263
1, , , , ,1, , , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10260,2034,2583,558,9231,756,5366,18665,1031,13369,1793,8671
1, , , , ,1, , , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,11471,108,1319,537,5824,162,5470,18953,683,8167,749,20701
1, , , , ,1, , , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,10619,948,1546,676,9248,789,5003,19698,767,2072,1422,8305
1, , , , ,1, , , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,3092,727,845,454,3497,407,4221,17914,675,9082,710,5964
1, , , , ,1, , , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,8774,1661,2005,161,8159,646,5375,18424,1108,21370,1536,6407
1, , , , ,1, , , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,11441,1108,1630,311,5387,611,4137,16412,921,10704,1270,8445
1, , , , ,1, , , , , , , , , ,1, ,30,30,30,30,30,30,30,30,30,30,30,30,9197,1103,1267,483,6528,415,4078,18830,944,9982,1374,7476
1, , , , ,1, , , , , , , , , , ,1,30,30,30,30,30,30,30,30,30,30,30,30,4239,238,514,368,1678,232,5191,12519,664,8241,462,1695
1, , , , , ,1, , ,1, , , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,6983,266,935,443,5450,209,20,17961,614,6471,799,2239
1, , , , , ,1, , , ,1, , , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,12284,78,1039,530,5604,141,33,18627,688,6590,632,17518
1, , , , , ,1, , , , ,1, , , , , ,30,30,30,30,30,30,30,30,30,30,30,30,8382,122,717,523,4297,194,42,17574,651,1953,575,2189
1, , , , , ,1, , , , , ,1, , , , ,30,30,30,30,30,30,30,30,30,30,30,30,4732,159,737,481,3084,212,39,17540,751,6279,468,2242
1, , , , , ,1, , , , , , ,1, , , ,30,30,30,30,30,30,30,30,30,30,30,30,6918,144,871,106,5809,174,26,18366,803,14318,827,1742
1, , , , , ,1, , , , , , , ,1, , ,30,30,30,30,30,30,30,30,30,30,30,30,10532,151,1189,355,1496,191,25,15031,600,4320,576,2047
