TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_2HepG2_DME_NOINH_c01rA,1,,,,,1,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,5215,1532,1025,431,148,9668,1065,465,15912,213,2964,784,2029,17055,689,188,3180
BOOLY_2HepG2_DME_PI3K_c01rB,1,,,,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,4038,1050,923,259,196,7615,988,480,12115,198,4390,743,1841,15206,414,164,3277
BOOLY_2HepG2_DME_MEK_c01rC,1,,,,,1,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,1088,1133,1065,350,123,5996,601,392,12449,134,5358,852,1750,14793,407,135,2964
BOOLY_2HepG2_DME_IKK_c01rD,1,,,,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,5120,1292,430,423,226,9082,1130,44,10174,163,1079,829,2244,18097,656,217,2449
BOOLY_2HepG2_DME_PI3K+MEK_c01rE,1,,,,,1,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,1234,775,1065,463,137,5715,679,404,10862,160,4496,795,1721,16951,560,184,3333
BOOLY_2HepG2_DME_MEK+IKK_c01rF,1,,,,,1,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,1113,800,396,333,119,7119,647,29,7539,150,1025,899,1857,22405,527,162,2381
BOOLY_2HepG2_DME_IKK+PI3K_c01rG,1,,,,,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,3906,1188,437,343,222,6992,1132,39,8959,157,835,745,2582,19528,433,227,2184
BOOLY_2HepG2_DME_PI3K+MEK+IKK_c01rH,1,,,,,1,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,1235,936,444,308,107,5734,636,38,5858,137,791,805,1760,21484,387,166,2236
BOOLY_2HepG2_DME_NOINH_c01rA,1,,,,,1,,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1092,5215,1532,1025,431,148,9668,1065,465,15912,213,2964,784,2029,17055,689,188,3180
BOOLY_2HepG2_DME_PI3K_c01rB,1,,,,,1,,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,382,4038,1050,923,259,196,7615,988,480,12115,198,4390,743,1841,15206,414,164,3277
