TR:HepG2:CellLine,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEKi,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi,DA:AKT,DA:ERK,DA:GSK3,DA:Ikb,DA:JNK,DA:p38,DA:p70S6,DA:p90RSK,DA:STAT3,DA:cJUN,DA:CREB,DA:HSP27 ,DA:IRS-1s ,DA:MEK ,DA:p53 ,DV:AKT ,DV:ERK ,DV:GSK3 ,DV:Ikb ,DV:JNK ,DV:p38 ,DV:p70S6 ,DV:p90RSK ,DV:STAT3 ,DV:cJUN ,DV:CREB ,DV:HSP27 ,DV:IRS-1s ,DV:MEK ,DV:p53 
1,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,512,910.5,212,144.5,93,2040,594,236,3143,146,376,979,3068,539
1,1,,,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10154.5,2286,978,189.5,164,156.5,11098,2023,160,4362.5,736,332.5,3909,6945,407
1,,1,,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2186,1020,1831.5,4494.5,2253,2775,14670,1104.5,102.5,18141,2278.5,6917,7067,5573,1057
1,,,1,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21378.5,431.5,2243,195,145,66,4375,502,480.5,3112,209,242,1144,3258.5,398.5
1,,,,1,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6597.5,870.5,288,253.5,181,261,8585.5,786,13307,4244,557,303,2201,5596,393
1,1,,1,,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23667.5,2918.5,3297.5,214.5,147,109.5,15302,1864,158.5,5914.5,1108,278,4221,8305,460
1,,1,,1,1,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1592,1448,1927,5658,2257,2104.5,17112.5,1881.5,9123,19782,2818.5,7742,7475,6651.5,904.5
1,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,349,832,209,145,81,1941,423.5,283,3302.5,165,337,1167.5,3554,573
1,,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368,182,653.5,243,141,52,698,241,315,2099,129,311,610,2314,502.5
1,1,,,,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23343,195,1537,258,177,110,2872.5,249,276,4387,150,341.5,1056,10728,502
1,,1,,,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4682.5,152.5,978,4855,2106,2227,13313,228,104,14575,1813,5671,5915,7378,1292.5
1,,,1,,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23667.5,164,2186,206,145,41.5,2186,201,276.5,1652,158,288,856,3613,444.5
1,,,,1,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7698,164,1139,218.5,119,89.5,1134,237,14062,2142,185,271.5,704.5,5874.5,500
1,1,,1,,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23762,232,2926,203.5,182,99.5,4570,209.5,268,5292,226.5,226,1138.5,15493,470
1,,1,,1,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6579,159,594,4432,1402,1646,9459.5,205,10204,9026,1966.5,4362,5818,9266,792.5
1,,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,148,362,147,114,47.5,633,149.5,319,1906,95.5,230.5,646,2528,505
1,,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857,367.5,440,192.5,102,55,1553,458,172,3023,125,228,737,3180,397
1,1,,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7338,1979,2486.5,228,160,116,11392,1890,204,6328.5,489,324,4139.5,7259.5,572
1,,1,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2856,895,1245,4858,2007,1703,14689,854,103,15179.5,1811,960.5,6349,4903,1057
1,,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22810.5,425,2110,202,155,58.5,5411,474.5,219.5,3854,148,291,1513,2991,513.5
1,,,,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3409,1005,1163,194,144,191.5,6935.5,906,14194.5,4145,342,225,2317,5572,456.5
1,1,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23266,3062,2570,187,114,80,14577.5,1820,136.5,5488,688,248.5,4341.5,7496.5,440
