abl	ABL1_HUMAN
akap79	AKAP5_HUMAN
ap1	JUN_HUMAN
bad	BAD_HUMAN
bcat	CTNB1_HUMAN
bcl10	BCL10_HUMAN
bclxl	B2CL1_HUMAN
ca	CA
cabin1	CABIN_HUMAN
calcin	CANB1_HUMAN
calcin	CANB2_HUMAN
calcin	PP2BA_HUMAN
calcin	PP2BB_HUMAN
calcin	PP2BC_HUMAN
calpr1	RCAN1_HUMAN
cam	CALM_HUMAN
camk2	KCC2A_HUMAN
camk2	KCC2B_HUMAN
camk2	KCC2D_HUMAN
camk2	KCC2G_HUMAN
camk4	KCC4_HUMAN
card11	CAR11_HUMAN
card11a	BCL10_HUMAN
card11a	CAR11_HUMAN
cblb	CBLB_HUMAN
ccblp1	CBL_HUMAN
ccblp2	CBL_HUMAN
ccblr	CBL_HUMAN
cd28	CD28_HUMAN
cd4	CD4_HUMAN
cd45	PTPRC_HUMAN
cdc42	CDC42_HUMAN
cre	CREB1_HUMAN
creb	CREB1_HUMAN
csk	CSK_HUMAN
cyc1	CY1_HUMAN
dag	DAG
dgk	DGKA_HUMAN
dgk	DGKB_HUMAN
dgk	DGKD_HUMAN
dgk	DGKE_HUMAN
dgk	DGKG_HUMAN
dgk	DGKH_HUMAN
dgk	DGKI_HUMAN
dgk	DGKK_HUMAN
dgk	DGKQ_HUMAN
dgk	DGKZ_HUMAN
erk	MK03_HUMAN
fkhr	FOXO1_HUMAN
fos	FOS_HUMAN
fyn	FYN_HUMAN
gab2	GAB2_HUMAN
gadd45	GA45A_HUMAN
gads	GRAP2_HUMAN
gap	RASA1_HUMAN
grb2	GRB2_HUMAN
gsk3	GSK3A_HUMAN
gsk3	GSK3B_HUMAN
hpk1	M4K1_HUMAN
ikb	IKBB_HUMAN
ikkab	IKKA_HUMAN
ikkab	IKKB_HUMAN
ikkg	NEMO_HUMAN
ip3	IP3
itk	ITK_HUMAN
jnk	MK08_HUMAN
jun	JUN_HUMAN
lat	LAT_HUMAN
lckp1	LCK_HUMAN
lckp2	LCK_HUMAN
lckr	LCK_HUMAN
malt1	MALT1_HUMAN
mek	MP2K1_HUMAN
mekk1	M3K1_HUMAN
mkk4	MP2K4_HUMAN
mlk3	M3K11_HUMAN
nfat	NFAC1_HUMAN
nfat	NFAC2_HUMAN
nfat	NFAC3_HUMAN
nfkb	NFKB1_HUMAN
nfkb	NFKB2_HUMAN
p21c	CDN1A_HUMAN
p27k	CDN1B_HUMAN
p38	MK14_HUMAN
p70s	KS6B1_HUMAN
pag	PAG1_HUMAN
pdk1	PDK1_HUMAN
pi3k	PK3CA_HUMAN
pip3	PIP3
pkb	AKT1_HUMAN
pkcth	KPCT_HUMAN
plcga	PLCG1_HUMAN
plcgb	PLCG1_HUMAN
pten	PTEN_HUMAN
rac1p1	RAC1_HUMAN
rac1p2	RAC1_HUMAN
rac1r	RAC1_HUMAN
raf	RAF1_HUMAN
ras	RASK_HUMAN
rasgrp	GRP1_HUMAN
rlk	TXK_HUMAN
rsk	KS6A1_HUMAN
sh3bp2	3BP2_HUMAN
ship1	SHIP1_HUMAN
shp1	PTN6_HUMAN
shp2	PTN11_MOUSE
slp76	LCP2_HUMAN
sos	SOS1_HUMAN
sre	SRE
tcrb	TVB2_HUMAN
tcrlig	TCRligand
tcrp	TCA_HUMAN
tcrp	TRBC1_HUMAN
tcrp	TRBC2_HUMAN	
tcrp	TRDC_HUMAN
tcrp	TRGC1_HUMAN
tcrp	TVA1_HUMAN
tcrp	TVA2_HUMAN
tcrp	TVA3_HUMAN
tcrp	TVB1_HUMAN
tcrp	TVB2_HUMAN
tcrp	TVC_HUMAN
vav1	VAV_HUMAN
vav3	VAV3_HUMAN
x	NA
zap70	ZAP70_HUMAN
