TR:1BRcell:CellLine,TR:no pep,TR:L0.04,TR:Q4,TR:L0.4,TR:L4,TR:Y4,DA:ERK1,DA:ERK2,DA:JNK1,DA:JNK3,DA:JNK2,DA:nNFAT,DA:IL-2,DA:Akt,DA:p38,DA:MK2,DA:IKK,DA:cNFAT,DV:ERK1,DV:ERK2,DV:JNK1,DV:JNK3,DV:JNK2,DV:nNFAT,DV:IL-2,DV:Akt,DV:p38,DV:MK2,DV:IKK,DV:cNFAT
1,1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.49,0,0,0,0,0,0.55
1,1,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,1.61,0,0,0,0.81,1.02,0.58
1,1,,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0,0,0,0,0,0.21,0,0,0,0.68,1.5,0.17
1,1,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,0,0,1.12,0,0,0,2.17,1.46,1.76
1,1,,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0,0,0,0,0,0.18,1e-08,0,0,0.64,1.12,0.19
1,1,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0.18,0,0,0,0.44,1.42,0.45
1,1,,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0,0,0,0,0,0,0,0,0,190.73,322.92,0
1,1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.65,0.95,0.39,0.63,0,1.0,1.0,0,0,0.59
1,1,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.33,1.51,3.3,1.74,0.28,0.77,0,1.65,1.56,0.87,1.05,1.0
1,1,,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.87,0.75,0.64,2.16,1.06,0.47,0,1.47,0.56,0.45,1.42,0.66
1,1,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.83,0.9,0.77,0.33,0.03,0.07,0,4.2,0.73,0.62,0.4,0.07
1,1,,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.9,0.85,0.68,0.81,0.15,0.27,1e-08,1.06,1.01,0.72,0.43,0.1
1,1,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.68,0.73,0.0,0.31,0.12,0.4,0,3.82,0.42,0.25,1.96,0.37
1,1,,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,208.5,201.6,175.48,296.19,116.43,0,0,502.7,176.84,128.41,273.15,0
1,,,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35,1.05,1.61,0.39,0,1.0,1.0,0,0,0.19
1,,,1,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.78,1.99,7.91,11.47,1.95,6.58,0,1.11,3.65,3.27,1.88,15.09
1,,,1,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,1.19,1.56,1.09,1.48,2.91,0.0,0,3.03,0.61,0.74,2.19,0.03
